Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
1	{loyasaEa	ٱلْيَسَعَ	al'yasaʿa		
2	{l~a*iY	ٱلَّذِى	alladhī		
3	A^dam	آدَم	ādam	 seasoned (e.g. food), to mix/associate/unite/mingle  together, a means of access, pattern/exemplar, object of imitation, tanned  skin/hide, leather, the surface of the earth/ground, Adam, Children of Adam,  human beings.	
4	A^zar	آزَر	āzar	to strengthen/aid/assist/help/sympathise, Azar (name of  an idol) derived from the Chaldean name of the planet Mars.	
5	<iboraAhiym	إِبْرَاهِيم	ib'rāhīm		
6	<iboliys	إِبْلِيس	ib'līs		
7	<i*	إِذ	idh		
8	<i*FA	إِذًا	idhan		
9	<i*aA	إِذَا	idhā		
10	<iram	إِرَم	iram		
11	<isotaboraq	إِسْتَبْرَق	is'tabraq		
12	<isoHaAq	إِسْحَاق	is'ḥāq		
13	<isoraA}iyl	إِسْرَائِيل	is'rāīl		
14	<isomaAEiyl	إِسْمَاعِيل	is'māʿīl		
15	<ilaY`	إِلَىٰ	ilā		
16	<iloyaAs	إِلْيَاس	il'yās		
17	<il~aA	إِلَّا	illā		
18	<im~aA	إِمَّا	immā		
19	>abaAriyq	أَبَارِيق	abārīq		
20	>am	أَم	am		
21	>amos	أَمْس	ams		
22	>am~aA	أَمَّا	ammā		
23	Abb	أبب	hamza bā bā	 fresh or dry herbage/vegetation of earth/pasture,  fruits/vegetables	
24	Abd	أبد	hamza bā dāl	 he remained/stayed, abode, dwelt constantly/permanently, to  render perpetual, time (in an absolute sense), long time,  endless/eternal/forever, unlimited/indivisible, lasting/everlasting,  unsocial/unfamiliar, never (when used in negative construction).	
25	Abq	أبق	hamza bā qāf	 to run away, fled, went away, he confined/concealed/restricted  himself, runaway/fugitive.	
26	Abl	أبل	hamza bā lām	 devote oneself to religious exercises, became a devotee, he  overcame/resisted/withstood, camels, acquire camels, camels became numerous,  skilled in the good management of camels, herd of camels, flocks, a bundle (e.g.  of firewood), a company in a state of dispersion. 	
27	Abw	أبو	hamza bā wāw	 father/grandfather/ancestor, fathership/paternity, to  nourish/feed/rear, bring up.	
28	Aby	أبي	hamza bā yā	 refuse/refrain/abstain voluntarily, held back,  disagree/reject/dislike/disapprove/hate, incompliant/unyielding/resistant.	
29	Aty	أتي	hamza tā yā		
30	Avv	أثث	hamza thā thā	 to be luxuriated, close, become much in quantity, abundant,  numerous, great, thick or large. athaathan - goods, utensils, household  furniture, moveable goods, all property consisting of camels/sheep/goats and  abandoned property.	
31	Avr	أثر	hamza thā rā	 to relate, narrate, recite, choose, propose, transmit, raise,  prefer, effect, excite. To stir up, to trump up. Determined/resolved/decided upon a thing. Origin, time/period of life. Dearth, scarcity, drought or sterility. An iron instrument with which the bottom of a camel's foot is marked, or a camel  with such a mark. A generous quality/action (e.g. passed down from generation to generation). athar means after, footstep/trace/mark/track/remnant/tradition/teaching,  impression/influence, stamp/scar, remains, relics of knowledge transmitted,  sunnah, vestige, print, memorial of antiquity. (i.e. that which is left  behind from something)	
32	Avl	أثل	hamza thā lām	 to take root, be firmly rooted, walk at a quick pace.	
33	Avm	أثم	hamza thā mīm	 to commit a crime/sin or lie. ithm - sin, crime, guilt,  iniquity, lie, anything that hinders from good deeds, harmful, anything which  renders a person deserving of punishment, anything that pricks the mind as  something evil, unlawful. athaam - punishment of wickedness, the requital.  aathim - evil doer, one who sins. athiim - wicked person. taa'thiim - accusation  of crime.	
34	Ajj	أجج	hamza jīm jīm	   burning to the mouth, bitter/hot/salty, undrinkable.	
35	Ajr	أجر	hamza jīm rā	 recompense/compensation/reward,  hire/pay/wage for service, profit	
36	Ajl	أجل	hamza jīm lām	   assigned/appointed/specified/decreed term, period, day of resurrection, period  between creation and death, period between death and resurrection, period  remaining in the world, delay/postponed/deferral of time.	
37	AHd	أحد	hamza ḥā dāl	 make/call it one, unity, anyone/anything. ahada  ashara (eleven).	
38	Ax*	أخذ	hamza khā dhāl		
39	Axr	أخر	hamza khā rā	 go backwards, retreat/recede/retire, hold  back/delay/postpone/defer, last/back part of a thing . Another, other, 2nd.	
40	Axw	أخو	hamza khā wāw	 Male person having the same parents as another or a male only  having one parent in common; person of the same descent/land/creed/faith with  others; brother; friend; companion; match; fellow of a pair; kinsman; intimately  acquainted. Signifying the relation of a brother - brotherhood/fraternity. Act in a  brotherly manner. An associate/fellow. Sister, female friend. When it does not  relate to birth, it means conformity/similarity and combination/agreement or  unison in action.	
41	Add	أدد	hamza dāl dāl	  an event  befell him, distressed/afflicted/oppressed him, strength/power/force,  terrible/evil/horrible thing,  gross blasphemy, calamity.	
42	Ady	أدي	hamza dāl yā	  he made or  caused it to arrive/come/reach, he brought/conveyed/delivered it,  fulfilment/payment, paid/discharged/acquitted.	
43	A*n	أذن	hamza dhāl nūn		
44	A*y	أذي	hamza dhāl yā		
45	Arb	أرب	hamza rā bā	 He  was, or became, cunning, characterized by intelligence with craft and forecast,  or simply intelligent, excellent in judgment, sagacious, and knowing in affairs;  He became excellent, or skilful, in the thing, or he became accustomed to,  practised or exercised in, the thing, and became knowing, or skilful (therein);  He devoted, or addicted himself, or cleaved or kept to a thing; he was, or  became, niggardly, avaricious, or tenacious, of a thing. His member or limb  (generally meaning the arm or hand) was cut off or dropped off; his members or  limbs (generally relating to the members or fingers) of the arm or hand dropped  off one after the other in consequence of a certain disease (usually termed  jeem-dhal-alif-meem); A member, a distinct part of the animal body, a limb;  expert skillful	
46	ArD	أرض	hamza rā ḍād	 = To rotate, bring forth herbs abundantly. Land  abundant, fruitful, productive, luxuriant with herbage. Place for alighting or  abiding. To tarry, await, expect, be patient. &quot;Earth,  as opposed to heaven: and the ground, as meaning the surface of the earth, on  which we tread, and sit, and lie&quot;. Good land. Remain, fixed, tarry in  expectation [on the ground]. Heavy, slow, sluggish, inclining, or propending to  the ground. Submissive. A carpet, anything that is spread. A tremor, vertigo  arising from a relaxed state. Wood-fretter, termite. 	
47	Ark	أرك	hamza rā kāf	  camels  feeding/eating on a certain tree termed (Alif-Ra-Alif-Kaf) or  camels remained, or continued, among trees of that kind; to persist or  preserver; He compelled him or constrained him, to do the thing, or affair; or  made him to keep, or cleave, to it; herbage in which the camels remain or  continue, couch.	
48	Azr	أزر	hamza zāy rā	&nbsp; to strengthen/aid/assist/help/sympathise, Azar (name of  an idol) derived from the Chaldean name of the planet Mars.	
49	Azz	أزز	hamza zāy zāy	 to incite, make a loud crash, produce a noise.	
50	Azf	أزف	hamza zāy fā	 to get night, arrive suddenly, approach, draw near.	
51	Asr	أسر	hamza sīn rā	 to make captive, prisoner,  joint/ligament/frame/vigour/energy.	
52	Ass	أسس	hamza sīn sīn	 to lay foundation.	
53	Asf	أسف	hamza sīn fā	 to be sad, grieved about, afflicted with.	
54	Asn	أسن	hamza sīn nūn	 to be corrupted, be putrid and stinking.	
55	Asw	أسو	hamza sīn wāw	 to imitate any one. uswah - model, imitation, relief,  consolation, pattern, example worthy of imitation.	
56	A$r	أشر	hamza shīn rā	 to cut/sharpen/saw. self-conceited, impudent, insolent,  rash.	
57	ASl	أصل	hamza ṣād lām	 to be rooted. asiilan - evening, time before sunset.	
58	Aff	أفف	hamza fā fā	 expression of anxiety/distress/disgust, anything  people deem troublesome/displeasing/hateful	
59	Afq	أفق	hamza fā qāf	   sky/heavens/horizon, land or part of it, their border/extremity.	
60	Afk	أفك	hamza fā kāf	 change its manner/state, turn it away/back, change/pervert  opinion/judgement, deceive, lie/falsehood/untruth, overturn.	
61	Afl	أفل	hamza fā lām	 absent/hidden/concealed/set.	
62	Akl	أكل	hamza kāf lām	 swallowing food after chewing, means of subsistence,  devoured/consumed, fed/supplied, things to be eaten, eatables 	
63	Alt	ألت	hamza lām tā	   decrease, diminish, lessen	
