Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
1	ٱللَّه	ٱللَّه	ٱللَّه	ALLAH	ALLAH	{ll~ah	2704	Proper noun			1	1	1	
2	ٱللَّهُمَّ	ٱللَّهُ + مَّ	ٱللَّهُمَّ	ALLAHumma	ALLAHumma (O ALLAH!)	{ll~ahum~a	5	Proper noun			1	1	1	
3	إِنجِيل	إِنجِيل	إِنجِيل	proper name	Injeel	<injiyl	12	Proper noun						
4	إِبْرَاهِيم	إِبْرَاهِيم	إِبْرَاهِيم	proper name	Ibraaheem	<iboraAhiym	69	Proper noun						
5	إِسْرَائِيل	إِسْرَائِيل	إِسْرَائِيل	proper name	Israa.eel	<isoraA}iyl	43	Proper noun						
6	إِسْحَاق	إِسْحَاق	إِسْحَاق	proper name	Ishaaq	<isoHaAq	17	Proper noun						
7	إِسْمَاعِيل	إِسْمَاعِيل	إِسْمَاعِيل	proper name	Ismaa'eel	<isomaAEiyl	12	Proper noun						
8	إِلَىٰ	إِلَىٰ	إِلَىٰ	Miscellaneous	ilaa	<ilaY`	742	Preposition						
9	إِلْيَاس	إِلْيَاس	إِلْيَاس	proper name	Ilyaas	<iloyaAs	3	Proper noun						
10	إِلَّا	إِلَّا	إِلَّا	Miscellaneous	illaa	<il~aA	663	Restriction particle (558), Exceptive particle (102), Particle of certainty (3)						
11	إِلَّم	إِلَّم	إِلَّم	Miscellaneous	illam	<il~am	1	Conditional particle						
12	إِمَّا	إِمَّا	إِمَّا	Miscellaneous	immaa	<im~aA	23	Explanation particle (22), Conditional particle (1)						
13	إِن	إِن	إِن	Miscellaneous	in	<in	697	Conditional particle (578), Negative particle (114), Particle of certainty (5)						
14	إِنّ	إِنّ	إِنّ	Miscellaneous	inna	<in~	1682	Accusative particle						
15	إِى	إِى	إِى	Miscellaneous	.ee	<iY	1	Answer particle						
16	إِيَّا	إِيَّا	إِيَّا	Miscellaneous	iyyaa	<iy~aA	24	Personal pronoun						
17	إِين	إِين	إِين	Miscellaneous	.een	<iyn	1	Conditional particle						
18	أَلَآ	أَلَآ	أَلَآ	Miscellaneous	alaa	>alaA^	39	Inceptive particle						
19	أَم	أَم	أَم	Miscellaneous	am	>am	137	Coordinating conjunction						
20	أَمَام	أَمَام	أَمَام	Miscellaneous	amaam	>amaAm	1	Time adverb						
21	أَمَّا	أَمَّا	أَمَّا	Miscellaneous	ammaa	>am~aA	55	Explanation particle (44), Conditional particle (11)						
22	أَن	أَن	أَن	Miscellaneous	an	>an	625	Subordinating conjunction (578), Particle of interpretation (47)						
23	أَنّ	أَنّ	أَنّ	Miscellaneous	anna	>an~	362	Accusative particle						
24	أَنَّىٰ	أَنَّىٰ	أَنَّىٰ	Miscellaneous	annaa	>an~aY`	28	Interogative particle (27), Noun (1)						
25	أَو	أَو	أَو	Miscellaneous	aw	>aw	280	Coordinating conjunction						
26	أَىّ	أَىّ	أَىّ	Miscellaneous	ayy	>aY~	60	Interogative particle (35), Noun (24), Conditional particle (1)						
27	أَيْن	أَيْن	أَيْن	Miscellaneous	ayn	>ayon	19	Interogative particle (12), Location adverb (4), Conditional particle (3)						
28	أَيَّان	أَيَّان	أَيَّان	Miscellaneous	ayyaan	>ay~aAn	6	Interogative particle (5), Time adverb (1)						
29	أَيَّتُهَا	أَيَّتُهَا	أَيَّتُهَا	Miscellaneous	ayyatuha	>ay~atuhaA	2	Noun						
30	أَيُّهَا	أَيُّهَا	أَيُّهَا	Miscellaneous	ayyuha	>ay~uhaA	153	Noun						
31	أَيُّوب	أَيُّوب	أَيُّوب	proper name	Ayyoob	>ay~uwb	4	Proper noun						
32	أُولَٰٓئِك	أُولَٰٓئِك	أُولَٰٓئِك	Miscellaneous	ulaa.ika	>uwla`^}ik	204	Demonstrative pronoun						
33	أُولَآء	أُولَآء	أُولَآء	Miscellaneous	.uulaaa.	>uwlaA^'	4	Relative pronoun (2), Demonstrative pronoun (2)						
34	أُولِى	أُولِى	أُولِى	Miscellaneous	uuli	>uwliY	45	Noun						
35	ٱلْعُزَّىٰ	ٱلْعُزَّىٰ	ٱلْعُزَّىٰ	proper name	Al'Uzzaa	{loEuz~aY`	1	Proper noun						
36	ٱلْيَسَعَ	ٱلْيَسَعَ	ٱلْيَسَعَ	proper name	AlYasa'	{loyasaEa	2	Proper noun						
37	ٱلَّٰٓـِٔى	ٱلَّٰٓـِٔى	ٱلَّٰٓـِٔى	Miscellaneous	allaaa.ii	{l~a`^_#iY	4	Relative pronoun						
38	ٱلَّذِى	ٱلَّذِى	ٱلَّذِى	Miscellaneous	allazi	{l~a*iY	1464	Relative pronoun (1442), Conditional particle (22)						
39	ٱللَّٰت	ٱللَّٰت	ٱللَّٰت	proper name	AlLaat	{ll~a`t	1	Proper noun						
40	آدَم	آدَم	آدَم	proper name	Aadam	A^dam	25	Proper noun						
41	أَبّ	ا ب ب	فَلّ	N21.2	fall	>ab~	1	Noun			ب	ب	ا	
42	أَبَدًا	ا ب د	فَعَل	N21.4	fa'al	>abadFA	28	Time adverb			د	ب	ا	
43	أَبَقَ	ا ب ق		I	For verbs,  pattern not mentioned, as patterns are many for each verbal form, e.g. fa'ala, yaf'ilu,  yaf'ulu, if'il & many more… so instead of mentioning patterns for all  used forms or 1 of many used forms, only verbal form name is mentioned. Sufficient notes exist freely online for meaning shades of each verbal form	to run away, to flee	1				ق	ب	ا	
44	إِبِل	ا ب ل	فِعِل	N23.4z.cl	fi'il	<ibil	2	Noun			ل	ب	ا	
45	أَبَابِيل	ا ب ل	فَعَاعِيل	pl.	fa'aa'eel pl of fi''awl , fi''eel, fi''aal, fi''aal at, fee'aal, or a plural with no singular	>abaAbiyl	1	Adjective			ل	ب	ا	
46	أَبٌ	ا ب و	فَعَل	N21.4	fa'al (final waw dropped)	>abN	46	Noun			و	ب	ا	
47	أَبَوَان	ا ب و	(فَعَل) فَعَلَان	N21.4	fa'al aan.dl	>abawaAn	7	Noun			و	ب	ا	
48	آبَاء	ا ب و	(فَعَل) فَاعَال	N21.4z.pl	faa'aal pl of fa'al	A^baA'	64	Noun			و	ب	ا	
49	أَبَى	ا ب ي		I		to refuse	13				ي	ب	ا	
50	آتِي	ا ت ي	فَاعِل	vb.I.ap	faa'il	A^tiy	9	Noun			ي	ت	ا	
51	مَأْتِيٌّ	ا ت ي	مَفْعِيل	vb.I.pp	maf'eel	ma>otiy~N	1	Noun			ي	ت	ا	
52	مُؤْتُون	ا ت ي	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	mu&otuwn	1	Noun			ي	ت	ا	
53	إِيتَاءٌ	ا ت ي	إِفْعَال	vb.IV.vn	if'aal	<iytaA'N	3	Noun			ي	ت	ا	
54	أَتَى	ا ت ي		I		to come, to bring	264				ي	ت	ا	
55	آتَى	ا ت ي		IV		to give	271				ي	ت	ا	
56	أَثَٰث	ا ث ث	فَعَال	N11.1	fa'aal	>ava`v	2	Noun			ث	ث	ا	
57	أَثَٰرَة	ا ث ر	فَعَالَة	N11.1t	fa'aal at	>ava`rap	1	Noun			ر	ث	ا	
58	أَثَر	ا ث ر	فَعَل	N21.4	fa'al	>avar	14	Noun			ر	ث	ا	
59	يُؤْثَرُ	ا ث ر		I		to transmit, to be related	1				ر	ث	ا	
60	آثَرَ	ا ث ر		IV		to prefer	5				ر	ث	ا	
61	أَثْل	ا ث ل	فَعْل	N21.1z.cl	fa'l	>avol	1	Noun			ل	ث	ا	
62	أَثَام	ا ث م	فَعَال	N11.1	fa'aal	>avaAm	1	Noun			م	ث	ا	
63	أَثِيم	ا ث م	فَعِيل	N13.1	fa'eel	>aviym	7	Adjective			م	ث	ا	
64	إِثْم	ا ث م	فِعْل	N23.1	fi'l	<ivom	35	Noun			م	ث	ا	
65	آثِم	ا ث م	فَاعِل	vb.I.ap	faa'il	A^vim	3	Noun			م	ث	ا	
66	تَأْثِيم	ا ث م	تَفْعِيل	vb.II.vn	taf'eel	ta>oviym	2	Noun			م	ث	ا	
67	يَأْجُوج	ا ج ج	يَفْعُول	N09.1 proper name	yaf'ool	ya>ojuwj	2	Proper noun			ج	ج	ا	
68	أُجَاج	ا ج ج	فُعَال	N11.2	fu'aal	>ujaAj	3	Noun			ج	ج	ا	
69	مَأْجُوج	ا ج ج	مَفْعُول	vb.I.ptrn.pp.N proper name	maf'ool	ma>ojuwj	2	Proper noun			ج	ج	ا	
70	أَجْر	ا ج ر	فَعْل	N21.1	fa'l	>ajor	105	Noun			ر	ج	ا	
71	تَأْجُرَ	ا ج ر		I		to work for recompense	1				ر	ج	ا	
72	ٱسْتَـْٔجَرْ	ا ج ر		X		to hire	2				ر	ج	ا	
73	أَجْل	ا ج ل	فَعْل	N21.1	fa'l	>ajol	1	Noun			ل	ج	ا	
74	أَجَل	ا ج ل	فَعَل	N21.4	fa'al	>ajal	52	Noun			ل	ج	ا	
75	مُّؤَجَّل	ا ج ل	مُفَعَّل	vb.II.pp	mufa''al	m~u&aj~al	1	Adjective			ل	ج	ا	
76	أَجَّلَ	ا ج ل		II		to appoint	2				ل	ج	ا	
77	إِحْدَى	ا ح د	فِعْلَىٰ	N05.3	fi'laa	<iHodaY	11	Noun			د	ح	ا	
